grid_id_0.25deg,lat_0.25deg,lng_0.25deg,GHM_0.25deg,viirs_dnb_avg_rad_0.25deg,viirs_dnb_cf_cvg_0.25deg,world_pop_density_0.25deg
7964,-10.5,127.75,,0.130045178,8.066690185,
15794,-10.5,142.25,0.148336614,0.376774589,7.79879693,30.32789945
15929,-10.5,142.5,0.015924101,0.132614752,7.344748858,0.40832078
16064,-10.5,142.75,0.014409658,0.122838244,5.037701837,0.408320785
16199,-10.5,143,,0.124076144,5.060786883,
16334,-10.5,143.25,,0.124024681,4.599542306,
16469,-10.5,143.5,,0.124946158,4.765559627,
16604,-10.5,143.75,,0.122460854,4.812202568,
16739,-10.5,144,,0.118765769,4.501361048,
16874,-10.5,144.25,,0.118293478,4.676241505,
17009,-10.5,144.5,,0.116902918,4.880079548,
17144,-10.5,144.75,,0.11819032,4.581587721,
17279,-10.5,145,,0.120881717,4.496908248,
17414,-10.5,145.25,,0.117514306,4.369848038,
17549,-10.5,145.5,,0.118111079,4.42066706,
17684,-10.5,145.75,,0.112986457,4.214186461,
17819,-10.5,146,,0.117227868,4.207630114,
17954,-10.5,146.25,,0.117612855,4.244432622,
18089,-10.5,146.5,,0.117130344,4.441574991,
18224,-10.5,146.75,,0.120597932,4.653722458,
18359,-10.5,147,,0.122147134,4.609487743,
18494,-10.5,147.25,,0.12458468,4.443118604,
18629,-10.5,147.5,,0.123317059,4.336433125,
18764,-10.5,147.75,,0.119729826,4.504313686,
18899,-10.5,148,,0.118266587,4.197806207,
19034,-10.5,148.25,,0.120792275,3.927783835,
19169,-10.5,148.5,,0.116857805,3.904935828,
19304,-10.5,148.75,,0.115924016,3.833071059,
19439,-10.5,149,,0.118058331,3.989641674,
19574,-10.5,149.25,0.074162888,0.11668666,4.002773572,6.942263508
19709,-10.5,149.5,0.087571815,0.112967526,3.995778234,6.942263603
19844,-10.5,149.75,0.174605954,0.13636762,5.429977007,12.57605859
19979,-10.5,150,0.16922453,0.157550841,5.951303728,12.57605877
20114,-10.5,150.25,0.144184532,0.169159199,6.178552625,12.57605895
20249,-10.5,150.5,0.116653797,0.170655334,6.242502739,13.60142911
20384,-10.5,150.75,0.128327978,0.157963482,5.869447765,19.51600653
20519,-10.5,151,0.129373973,0.156405919,5.806500209,20.03680827
20654,-10.5,151.25,0.140261551,0.142823079,5.343826616,20.03680801
20789,-10.5,151.5,0.112167113,0.113147758,4.221755491,20.03680801
20924,-10.5,151.75,,0.114938641,4.514539046,20.03680801
21059,-10.5,152,0.130240332,0.115267043,5.368787799,20.03680801
21194,-10.5,152.25,,0.113665606,4.713545286,
21329,-10.5,152.5,0.128480874,0.112252565,5.094084453,20.03680827
21464,-10.5,152.75,0.129278237,0.114198509,5.087086256,20.03680773
21599,-10.5,153,,0.109715175,4.725420701,
21734,-10.5,153.25,,0.113978169,4.978358521,
21869,-10.5,153.5,,0.118241525,4.853823159,
22004,-10.5,153.75,,0.116892579,4.765271754,
22139,-10.5,154,,0.114526889,4.831938505,
22274,-10.5,154.25,,0.11060698,4.683040012,
22409,-10.5,154.5,,0.113975673,4.397733649,
22544,-10.5,154.75,,0.115215688,4.432387394,
22679,-10.5,155,,0.116710344,4.470132938,
22814,-10.5,155.25,,0.115286553,4.399973273,
22949,-10.5,155.5,,0.115429987,4.568959359,
23084,-10.5,155.75,,0.110456129,4.767282907,
23219,-10.5,156,,0.113123945,4.905729077,
23354,-10.5,156.25,,0.116273699,4.976175608,
23489,-10.5,156.5,,0.119658957,4.536588115,
23624,-10.5,156.75,,0.117264382,4.49321755,
8099,-10.5,128,,0.128801098,8.005236458,
8234,-10.5,128.25,,0.126183804,7.802275025,
8369,-10.5,128.5,,0.1256896,7.769585732,
8504,-10.5,128.75,,0.124668063,7.746148341,
8639,-10.5,129,,0.124270091,7.389449716,
8774,-10.5,129.25,,0.119799186,7.590677346,
8909,-10.5,129.5,,0.117943398,7.317637432,
9044,-10.5,129.75,,0.120177103,7.760267726,
9179,-10.5,130,,0.122483257,7.706062594,
9314,-10.5,130.25,,0.11980917,8.025246844,
9449,-10.5,130.5,,0.121429501,8.153760458,
9584,-10.5,130.75,,0.124559785,8.338134604,
9719,-10.5,131,,0.121374514,8.107646317,
9854,-10.5,131.25,,0.120451249,8.172916469,
9989,-10.5,131.5,,0.118898111,7.887956259,
10124,-10.5,131.75,,0.120829048,7.905715657,
10259,-10.5,132,,0.123244792,7.926503298,
10394,-10.5,132.25,,0.122097156,7.799592508,
10529,-10.5,132.5,,0.125635035,7.823505792,
10664,-10.5,132.75,,0.124868485,7.434708315,
10799,-10.5,133,,0.123417728,7.292554937,
10934,-10.5,133.25,,0.123798787,7.082367806,
11069,-10.5,133.5,,0.121374767,7.367608444,
11204,-10.5,133.75,,0.12053939,7.125727076,
11339,-10.5,134,,0.121231002,7.078710999,
11474,-10.5,134.25,,0.119447557,6.997583167,
11609,-10.5,134.5,,0.117092084,7.102888795,
11744,-10.5,134.75,,0.115641485,7.283715554,
11879,-10.5,135,,0.117242828,7.173748045,
12014,-10.5,135.25,,0.118680748,7.028378079,
12149,-10.5,135.5,,0.119495242,6.996005873,
12284,-10.5,135.75,,0.118049903,7.221263134,
12419,-10.5,136,,0.120176818,7.24704293,
12554,-10.5,136.25,,0.118808482,7.237724044,
12689,-10.5,136.5,,0.117618411,7.488584646,
12824,-10.5,136.75,,0.115502863,7.517997021,
12959,-10.5,137,,0.116035048,7.146505618,
13094,-10.5,137.25,,0.118231275,6.940866283,
13229,-10.5,137.5,,0.120302477,7.144922827,
13364,-10.5,137.75,,0.117106719,7.072862113,
13499,-10.5,138,,0.116954013,6.729468057,
13634,-10.5,138.25,,0.11854306,6.380118663,
13769,-10.5,138.5,,0.11799039,6.242215379,
13904,-10.5,138.75,,0.116177818,5.959680872,
14039,-10.5,139,,0.119675932,5.520771714,
14174,-10.5,139.25,,0.12527414,5.564644481,
14309,-10.5,139.5,,0.124215508,5.644327488,
14444,-10.5,139.75,,0.117887443,5.611148689,
14579,-10.5,140,,0.114521441,5.689848281,
14714,-10.5,140.25,,0.115112575,5.522871185,
14849,-10.5,140.5,,0.116985337,5.494695135,
14984,-10.5,140.75,,0.116910871,5.759851357,
15119,-10.5,141,,0.119447977,5.648469088,
15254,-10.5,141.25,,0.12015393,5.834672429,
15389,-10.5,141.5,,0.118779205,5.756968327,
15524,-10.5,141.75,,0.119337218,5.294585467,
15659,-10.5,142,,0.134100717,6.388489209,0.249692566
134,-10.5,113.25,,0.14387612,8.505242158,
269,-10.5,113.5,,0.144075685,8.454987212,
404,-10.5,113.75,,0.144434217,8.398996661,
539,-10.5,114,,0.140847312,8.687743203,
674,-10.5,114.25,,0.14275485,8.753632405,
809,-10.5,114.5,,0.145128052,9.034271987,
944,-10.5,114.75,,0.147495608,8.786398384,
1079,-10.5,115,,0.147163912,8.935802055,
1214,-10.5,115.25,,0.151542993,8.815021565,
1349,-10.5,115.5,,0.153085361,8.616126891,
1484,-10.5,115.75,,0.154281076,8.686620624,
1619,-10.5,116,,0.151363757,8.901152554,
1754,-10.5,116.25,,0.142866928,8.124844831,
1889,-10.5,116.5,,0.14378006,7.88578494,
2024,-10.5,116.75,,0.145146985,8.287025754,
2159,-10.5,117,,0.14609552,8.323309456,
2294,-10.5,117.25,,0.148110902,8.012919509,
2429,-10.5,117.5,,0.149161061,8.093451895,
2564,-10.5,117.75,,0.143786845,8.131223843,
2699,-10.5,118,,0.144504604,7.892589149,
2834,-10.5,118.25,,0.14336664,7.629108484,
2969,-10.5,118.5,,0.143272469,7.713033147,
3104,-10.5,118.75,,0.140460752,8.18528584,
3239,-10.5,119,,0.143229612,8.175949572,
3374,-10.5,119.25,,0.141524366,8.649917349,
3509,-10.5,119.5,,0.140143529,8.246506812,
3644,-10.5,119.75,,0.142145631,8.321726106,
3779,-10.5,120,,0.139353293,8.385934191,
3914,-10.5,120.25,,0.140524711,7.898885722,
4049,-10.5,120.5,,0.137621561,8.357386621,
4184,-10.5,120.75,,0.136913155,8.755742336,
4319,-10.5,121,,0.13395579,8.724580855,
4454,-10.5,121.25,,0.135281275,8.74837254,
4589,-10.5,121.5,0.551460451,0.147859132,8.951395997,180.573457
4724,-10.5,121.75,0.612343356,0.262045131,9.192144128,180.5734606
4859,-10.5,122,0.662099218,0.221806634,9.418220768,180.5734586
4994,-10.5,122.25,,0.138530451,9.522223378,
5129,-10.5,122.5,,0.136991823,9.695170652,
5264,-10.5,122.75,,0.133514858,9.165685873,
5399,-10.5,123,,0.133318286,9.10217654,
