species,lat,lng,location_accuracy,date,nth.day,month,year,number_of_sp_calling,GHM,n_calls_recorded,mean_call_dur.s,call_RR.calls_per_min,silent_interval.s,mean_calling_effort.call_dur_div_call_period,mean_dfreq.Hz,mean_notes_per_call,mean_note_RR.notes_per_s,hourly_temp,Tmax,Tmin,rainfall
Litoria peronii,-33.9859,151.094,21.02199936,10/11/2017,314,11,2017,1,0.892625138,10,1.3784,11.34831836,3.960975102,0.337629358,1981.08,14.6,11.84038037,18.81704687,23.7,14.8,0
Litoria peronii,-32.61221716,149.5813676,50,10/11/2017,314,11,2017,1,0.587197967,1,1.821,,,,1981.1,25,14.21800948,13.52526674,26,9.5,0
Litoria peronii,-33.71952478,150.5669936,5,10/11/2017,314,11,2017,3,0.567477144,8,2.244571429,8.669228039,4.720644301,0.327781796,1744.1875,38,17.68914975,16.81945444,24,10.5,0
Litoria peronii,-33.49242663,150.1485071,10,11/11/2017,315,11,2017,1,0.63275756,12,1.305833333,32.30425246,0.500562986,0.739670773,1600.641667,6.818181818,6.851111478,15.15907204,21.5,4.6,0
Litoria peronii,-33.63911186,151.3206039,10,11/11/2017,315,11,2017,2,0.766814801,3,1.863666667,2.89132305,18.98208968,0.085331699,1751.4,29.66666667,16.27440954,19.0051476,22.6,13.1,0
Limnodynastes peronii,-33.71060992,151.0532463,5,11/11/2017,315,11,2017,2,0.632484175,14,0.097357143,14.72858507,3.976099715,0.025034555,516.8,,,,,,
Litoria peronii,-33.71060992,151.0532463,5,11/11/2017,315,11,2017,2,0.632484175,4,2.0215,4.129107389,12.48452579,0.154205362,1808.8,29,15.12750087,,,,
Limnodynastes peronii,-33.6949,150.547,68.40000153,11/11/2017,315,11,2017,3,0.714800156,14,0.048285714,16.9645038,3.488827747,0.013843847,689.0357143,,,16.59983032,23.5,11.4,0
Litoria peronii,-33.6949,150.547,68.40000153,11/11/2017,315,11,2017,3,0.714800156,3,2.296333333,4.43218627,11.19450729,0.173118659,1808.8,30.33333333,13.9949161,16.59983032,23.5,11.4,0
Litoria peronii,-33.7134,150.381,20.89999962,11/11/2017,315,11,2017,1,0.623624409,4,1.79825,7.565623109,6.113005596,0.248075192,1894.95,25.5,15.56032037,11.99399401,19.3,7.8,0
Litoria caerulea,-12.3947,130.874,6,12/11/2017,316,11,2017,1,0.819457287,16,0.30275,124.3576301,0.180857817,0.629006351,899.0375,,,25.14897399,32,23.6,6.2
Litoria caerulea,-21.0932,149.167,23.6989994,12/11/2017,316,11,2017,1,0.739151593,14,0.223,111.7926255,0.312109197,0.417916868,1095.128571,,,23.96214952,26.8,19.6,11.6
Litoria caerulea,-28.682,153.527,23.86000061,12/11/2017,316,11,2017,1,0.537592818,89,0.233910112,89.77687852,0.434353683,0.351116136,516.8,,,22.20885883,23.4,15,2.8
Limnodynastes peronii,-37.8287,144.985,135.6000061,12/11/2017,316,11,2017,1,0.889605205,34,0.028764706,34.09891996,1.731212575,0.016584571,1018.402941,,,21.95819573,23.3,13.2,0
Limnodynastes peronii,-34.0812,150.524,24,12/11/2017,316,11,2017,3,0.514494994,26,0.048076923,25.98111575,2.26139958,0.021361819,689.1,,,20.07106814,24.5,12.6,0
Litoria peronii,-34.0812,150.524,24,12/11/2017,316,11,2017,3,0.514494994,2,2.848,2.258385873,23.97058514,0.097750698,1248.95,35,12.57460104,20.07106814,24.5,12.6,0
Litoria peronii,-34.6960402,150.8531111,165,12/11/2017,316,11,2017,1,0.589361435,6,2.296,5.51615898,8.381075365,0.190687678,1737.05,31.25,14.51116199,18.96582527,21.9,17.7,0
Litoria caerulea,-14.4693,132.288,600,12/11/2017,316,11,2017,1,0.605285448,23,0.17126087,163.6801822,0.195615878,0.467053003,1329.46087,,,26.62602629,31.8,21.3,46.8
Limnodynastes peronii,-33.68384738,150.5813493,10,13/11/2017,317,11,2017,1,0.625062816,9,0.033,15.30541758,3.887063273,0.008669255,689.0666667,,,20.11541628,22,14.1,0
