species,grid_id_0.1deg,median_adj,onset_adj,offset_adj,duration,GHM_0.1deg,season_start_day,onset_doy,offset_doy,median_doy,n_obs,n_grids
Adelotus brevis,127786,194.8194998,169.977338,209.8936228,39.91628478,0.39818455,122,291.977338,331.8936228,316.8194998,23,66
Adelotus brevis,127787,223.8413512,170.4140655,262.3692459,91.95518039,0.295580097,122,292.4140655,18.36924588,345.8413512,41,66
Adelotus brevis,128120,216.4761641,125.4906912,296.5795171,171.0888259,0.69229165,122,247.4906912,52.57951706,338.4761641,106,66
Adelotus brevis,128121,220.8000946,132.7801578,293.8563533,161.0761955,0.54925221,122,254.7801578,49.85635332,342.8000946,1371,66
Adelotus brevis,128122,198.0854697,162.6507103,221.3348285,58.68411821,0.396734182,122,284.6507103,343.3348285,320.0854697,30,66
Adelotus brevis,128456,207.1480083,128.7290009,269.737661,141.0086601,0.681410112,122,250.7290009,25.73766096,329.1480083,35,66
Adelotus brevis,128460,196.6518422,114.3498141,267.9770503,153.6272363,0.390444311,122,236.3498141,23.97705033,318.6518422,24,66
Adelotus brevis,128461,191.7033798,111.8429573,261.7528546,149.9098972,0.318130297,122,233.8429573,17.75285455,313.7033798,61,66
Adelotus brevis,129133,194.4386038,127.7802231,244.9474588,117.1672356,0.782800017,122,249.7802231,0.947458753,316.4386038,21,66
Adelotus brevis,129140,200.1395051,117.9295587,266.0475673,148.1180086,0.163019457,122,239.9295587,22.04756729,322.1395051,20,66
Adelotus brevis,129469,203.2022387,129.2416065,261.502547,132.2609405,0.816750936,122,251.2416065,17.50254701,325.2022387,89,66
Adelotus brevis,130823,250.3857479,206.8828943,277.9481336,71.06523933,0.130655611,122,328.8828943,33.94813362,6.385747899,26,66
Adelotus brevis,131827,223.4132734,130.6947983,299.6190066,168.9242083,0.181498819,122,252.6947983,55.61900663,345.4132734,25,66
Adelotus brevis,132558,242.2458128,120.6751314,358.3539146,237.6787832,0.168628104,122,242.6751314,114.3539146,364.2458128,35,66
Adelotus brevis,132897,191.9772127,105.9862093,266.5969225,160.6107132,0.20547736,122,227.9862093,22.59692253,313.9772127,104,66
