grid_id,GHM,lat,lng
4855,0.671822537,-28.75,114.65
5193,0.46328402,-28.55,114.75
6147,0.350555992,-33.95,115.05
6149,0.209043111,-33.75,115.05
6150,0.341049643,-33.65,115.05
6484,0.28133033,-33.85,115.15
6486,0.333014151,-33.65,115.15
8162,0.091432501,-34.05,115.65
8168,0.350070055,-33.45,115.65
8169,0.681097521,-33.35,115.65
8187,0.461399081,-31.55,115.65
8506,0.498836128,-33.25,115.75
8516,0.753126234,-32.25,115.75
8518,0.867331611,-32.05,115.75
8519,0.803034069,-31.95,115.75
8520,0.868232436,-31.85,115.75
8521,0.808612207,-31.75,115.75
8841,0.294497511,-33.35,115.85
8852,0.661412374,-32.25,115.85
8853,0.730187864,-32.15,115.85
8854,0.852835282,-32.05,115.85
8855,0.862048773,-31.95,115.85
8856,0.877570089,-31.85,115.85
8857,0.616745117,-31.75,115.85
9188,0.574540026,-32.25,115.95
9189,0.677337774,-32.15,115.95
9190,0.868720838,-32.05,115.95
9191,0.856981498,-31.95,115.95
9192,0.651702086,-31.85,115.95
9193,0.527912527,-31.75,115.95
9508,0.327199245,-33.85,116.05
9522,0.299878178,-32.45,116.05
9523,0.365682457,-32.35,116.05
9525,0.617729299,-32.15,116.05
9526,0.530196099,-32.05,116.05
9527,0.666991858,-31.95,116.05
9528,0.571187343,-31.85,116.05
9529,0.48195608,-31.75,116.05
9531,0.337531909,-31.55,116.05
9836,0.22478814,-34.65,116.15
9843,0.280216878,-33.95,116.15
9849,0.357780847,-33.35,116.15
9862,0.32287957,-32.05,116.15
9863,0.396327747,-31.95,116.15
9864,0.521422762,-31.85,116.15
10200,0.442786476,-31.85,116.25
10201,0.384698045,-31.75,116.25
10638,0.097751704,-21.65,116.35
11185,0.060919179,-34.15,116.55
13193,0.319304045,-34.95,117.15
13529,0.304254798,-34.95,117.25
13864,0.166256139,-35.05,117.35
13865,0.375612252,-34.95,117.35
14536,0.268054646,-35.05,117.55
14872,0.284103537,-35.05,117.65
15545,0.501458101,-34.95,117.85
15547,0.243210357,-34.75,117.85
15880,0.285467947,-35.05,117.95
15881,0.380470387,-34.95,117.95
30499,0.421265807,-17.95,122.25
35209,0.182747014,-17.35,123.65
41259,0.00903419,-17.15,125.45
42626,0.001148208,-14.85,125.85
43607,3.59e-4,-17.55,126.15
44297,0.001050714,-15.75,126.35
58102,0.035159313,-12.85,130.45
58397,0.0023923,-16.95,130.55
59450,0.649984693,-12.45,130.85
59451,0.741552654,-12.35,130.85
59783,0.106613438,-12.75,130.95
59785,0.326496575,-12.55,130.95
59786,0.579764422,-12.45,130.95
59787,0.332304313,-12.35,130.95
