species,base_month
Adelotus brevis,5
Cophixalus australis,9
Crinia bilingua,8
Crinia deserticola,8
Crinia georgiana,3
Crinia glauerti,2
Crinia insignifera,2
Crinia parinsignifera,6
Crinia pseudinsignifera,2
Crinia remota,8
Crinia signifera,1
Crinia tasmaniensis,6
Crinia tinnula,1
Cyclorana alboguttata,7
Cyclorana australis,7
Cyclorana novaehollandiae,7
Geocrinia leai,1
Geocrinia victoriana,12
Heleioporus eyrei,10
Limnodynastes convexiusculus,8
Limnodynastes dorsalis,5
Limnodynastes dumerilii,6
Limnodynastes fletcheri,7
Limnodynastes interioris,5
Limnodynastes peronii,6
Limnodynastes salmini,8
Limnodynastes tasmaniensis,6
Limnodynastes terraereginae,7
Litoria adelaidensis,5
Litoria barringtonensis,6
Litoria bicolor,7
Litoria caerulea,7
Litoria chloris,6
Litoria dentata,6
Litoria ewingii,1
Litoria fallax,6
Litoria freycineti,6
Litoria gracilenta,6
Litoria inermis,6
Litoria infrafrenata,7
Litoria jervisiensis,1
Litoria latopalmata,6
Litoria microbelos,8
Litoria moorei,6
Litoria nasuta,7
Litoria nudidigitus,3
Litoria paraewingi,2
Litoria pearsoniana,5
Litoria peronii,6
Litoria phyllochroa,6
Litoria raniformis,6
Litoria revelata,11
Litoria rheocola,9
Litoria rothii,6
Litoria rubella,6
Litoria spaldingi,6
Litoria tornieri,8
Litoria tyleri,5
Litoria verreauxii,1
Litoria wilcoxii,5
Litoria xanthomera,7
Metacrinia nichollsi,8
Mixophyes coggeri,8
Mixophyes fasciolatus,6
Neobatrachus sudellae,12
Notaden melanoscaphus,8
Papurana daemeli,8
Paracrinia haswelli,1
Platyplectrum ornatum,8
Pseudophryne australis,5
Pseudophryne bibronii,12
Pseudophryne coriacea,6
Pseudophryne guentheri,12
Pseudophryne raveni,8
Rhinella marina,7
Uperoleia altissima,8
Uperoleia fusca,5
Uperoleia inundata,8
Uperoleia laevigata,6
Uperoleia lithomoda,7
Uperoleia mimula,8
Uperoleia rugosa,6
Uperoleia tyleri,6
